kode_plat;provinsi;kode_akhir_awal;wilayah
BL;Aceh;C**;Kabupaten Aceh Barat Daya
BL;Aceh;D**;Kabupaten Aceh Timur
BL;Aceh;E**;Kabupaten Aceh Barat
BL;Aceh;F**;Kota Langsa
BL;Aceh;G**;Kabupaten Aceh Tengah
BL;Aceh;H**;Kabupaten Gayo Lues
BL;Aceh;I**;Kota Subulussalam
BL;Aceh;K**/Q*;Kabupaten Aceh Utara
BL;Aceh;M**;Kota Sabang
BL;Aceh;N**;Kota Lhokseumawe
BL;Aceh;O**;Kabupaten Pidie Jaya
BL;Aceh;P**;Kabupaten Pidie
BL;Aceh;R**;Kabupaten Aceh Singkil
BL;Aceh;S**;Kabupaten Simeulue
BL;Aceh;T**;Kabupaten Aceh Selatan
BL;Aceh;U**;Kabupaten Aceh Tamiang
BL;Aceh;V**;Kabupaten Nagan Raya
BL;Aceh;W**;Kabupaten Aceh Jaya
BL;Aceh;X**;Kabupaten Aceh Tenggara
BL;Aceh;Y**;Kabupaten Bener Meriah
BL;Aceh;Z**;Kabupaten Bireuen
;;;
BM;Riau;A**/J*/L**/N*/Q*/T*;Kota Pekanbaru
BM;Riau;B**/V*;Kabupaten Indragiri Hulu
BM;Riau;C**/I*;Kabupaten Pelalawan
BM;Riau;D**/E*;Kabupaten Bengkalis
BM;Riau;F**/O*/Z*;Kabupaten Kampar
BM;Riau;G**;Kabupaten Indragiri Hilir
BM;Riau;H**/R*;Kota Dumai
BM;Riau;K**/X*;Kabupaten Kuantan Singingi
BM;Riau;M**/U*;Kabupaten Rokan Hulu
BM;Riau;P**/W*;Kabupaten Rokan Hilir
BM;Riau;S**/Y*;Kabupaten Siak
BM;Riau;X**;Kabupaten Kepulauan Meranti
;;;
BN;Kepulauan Bangka Belitung;A*;Kota Pangkal Pinang
BN;Kepulauan Bangka Belitung;B*;Kabupaten Bangka
BN;Kepulauan Bangka Belitung;C*;Kabupaten Bangka Tengah
BN;Kepulauan Bangka Belitung;D*;Kabupaten Bangka Barat
BN;Kepulauan Bangka Belitung;E*;Kabupaten Bangka Selatan
BN;Kepulauan Bangka Belitung;F*;Kabupaten Belitung
BN;Kepulauan Bangka Belitung;G*;Kabupaten Belitung Timur
;;;
BP;Kepulauan Riau;A*/T*;Kota Tanjung Pinang
BP;Kepulauan Riau;B*;Kabupaten Bintan
BP;Kepulauan Riau;C*/D*/E*/F*/G*/H*;Kota Batam
BP;Kepulauan Riau;I*/J*/M*/P*/Q*/R*/Z*;Kota Batam
BP;Kepulauan Riau;K*;Kabupaten Karimun
BP;Kepulauan Riau;N*;Kabupaten Natuna
BP;Kepulauan Riau;O*;Kabupaten Lingga
BP;Kepulauan Riau;S*;Kabupaten Kepulauan Anambas
;;;
A;Banten;A*/B*/C*/D*;Kota Serang
A;Banten;E*/F*/G*/H*/I*;Kabupaten Serang
A;Banten;J*/K*/L*/M*/N*;Kabupaten Pandeglang
A;Banten;O*/U*;Kota Cilegon
A;Banten;P*/R*/S*/T*;Kabupaten Lebak
A;Banten;V*/W*/X*/Y*/Z*;Kabupaten Tangerang
;;;
B;DKI Jakarta;B**;Kota Administrasi Jakarta Barat
B;DKI Jakarta;C**/V**;Kota Tangerang
B;DKI Jakarta;E**/Z**;Kota Depok
B;DKI Jakarta;F**;Kabupaten Bekasi
B;DKI Jakarta;G**/N**;Kabupaten Tangerang
B;DKI Jakarta;K**;Kota Bekasi
B;DKI Jakarta;P**;Kota Administrasi Jakarta Pusat
B;DKI Jakarta;S**;Kota Administrasi Jakarta Selatan
B;DKI Jakarta;T**;Kota Administrasi Jakarta Timur
B;DKI Jakarta;U**;Kota Administrasi Jakarta Utara
B;DKI Jakarta;W**;Kota Tangerang Selatan
;;;
D;Karesidenan Priangan (Jawa Barat);A**/B*/C*/D*/E*/F*;Kota Bandung
D;Karesidenan Priangan (Jawa Barat);M*/N*/O*/P*/R*;Kota Bandung
D;Karesidenan Priangan (Jawa Barat);G*/H*/I*/J*/K*/L*;Kota Bandung
D;Karesidenan Priangan (Jawa Barat);S**/T*;Kota Cimahi
D;Karesidenan Priangan (Jawa Barat);U**/X**/Z**;Kabupaten Bandung Barat
D;Karesidenan Priangan (Jawa Barat);V**/W*/Y**;Kabupaten Bandung
;;;
E;Karesidenan Cirebon (Jawa Barat);A*/B*/C*/D*/E*/F*/G*;Kota Cirebon
E;Karesidenan Cirebon (Jawa Barat);H*/I*/J*/K*/L*/M*/N*/O*;Kabupaten Cirebon
E;Karesidenan Cirebon (Jawa Barat);P**/Q*/R*/S*/T*;Kabupaten Indramayu
E;Karesidenan Cirebon (Jawa Barat);U*/V*/W*/X*;Kabupaten Majalengka
E;Karesidenan Cirebon (Jawa Barat);Y**/Z*;Kabupaten Kuningan
;;;
F;Karesidenan Bogor (Jawa Barat);A*/B*/C*/D*/E*;Kota Bogor
F;Karesidenan Bogor (Jawa Barat);F**/G*/H*/I*/J*/K*;Kabupaten Bogor
F;Karesidenan Bogor (Jawa Barat);L*/M*/N*/O*/P*/R*;Kabupaten Bogor
F;Karesidenan Bogor (Jawa Barat);Q*/U**/V*;Kabupaten Sukabumi
F;Karesidenan Bogor (Jawa Barat);S*/T*;Kota Sukabumi
F;Karesidenan Bogor (Jawa Barat);W*/X*/Y*/Z*;Kabupaten Cianjur
;;;
T;Karesidenan Karawang (Jawa Barat);A*/B*/C*;Kabupaten Purwakarta
T;Karesidenan Karawang (Jawa Barat);D*/E*/F*/G*/H*;Kabupaten Karawang
T;Karesidenan Karawang (Jawa Barat);I*/J*/K*/L*/M*/N*;Kabupaten Karawang
T;Karesidenan Karawang (Jawa Barat);O*/P*/Q*/R*/S*;Kabupaten Karawang
T;Karesidenan Karawang (Jawa Barat);T*/U*/V*/W*/X*/Y*/Z*;Sebagian Kabupaten Bekasi & Subang
;;;
Z;Priangan Timur (Jawa Barat);A*/B*/C*;Kabupaten Sumedang
Z;Priangan Timur (Jawa Barat);D**/E*/F*/G*;Kabupaten Garut
Z;Priangan Timur (Jawa Barat);H*/I*/J*;Kota Tasikmalaya
Z;Priangan Timur (Jawa Barat);K*/L*/M*/N*;Kabupaten Tasikmalaya
Z;Priangan Timur (Jawa Barat);O*/P*/Q*/R*/S*;Kabupaten Tasikmalaya
Z;Priangan Timur (Jawa Barat);T*/U*/V*;Kabupaten Ciamis
