kode_plat;provinsi;kode_akhir_awal;wilayah
DL;Sulawesi Utara (Kepulauan);A*;Kabupaten Kepulauan Sangihe
DL;Sulawesi Utara Kepulauan;B*;Kabupaten Kepulauan Talaud
DL;Sulawesi Utara Kepulauan;C*;Kabupaten Kepulauan Sitaro
;;;
DM;Gorontalo;A*;Kota Gorontalo
DM;Gorontalo;B*;Kabupaten Gorontalo
DM;Gorontalo;C*;Kabupaten Boalemo
DM;Gorontalo;D*;Kabupaten Pohuwato
DM;Gorontalo;E*;Kabupaten Bone Bolango
DM;Gorontalo;F*;Kabupaten Gorontalo Utara
;;;
DN;Sulawesi Tengah;A*/V*/Y*;Kota Palu
DN;Sulawesi Tengah;B*;Kabupaten Donggala
DN;Sulawesi Tengah;C*/R*;Kabupaten Banggai
DN;Sulawesi Tengah;D*;Kabupaten Toli-Toli
DN;Sulawesi Tengah;E*;Kabupaten Poso
DN;Sulawesi Tengah;F*;Kabupaten Buol
DN;Sulawesi Tengah;G*;Kabupaten Morowali
DN;Sulawesi Tengah;H*;Kabupaten Banggai Kepulauan
DN;Sulawesi Tengah;J*/K*;Kabupaten Parigi Moutong
DN;Sulawesi Tengah;L*;Kabupaten Tojo Una-Una
DN;Sulawesi Tengah;M*;Kabupaten Sigi
DN;Sulawesi Tengah;Q*;Kabupaten Banggai Laut
DN;Sulawesi Tengah;U*;Kabupaten Morowali Utara
;;;
DP;Sulawesi Selatan (utara);A*;Kota Parepare
DP;Sulawesi Selatan (utara);B*;Kabupaten Barru
DP;Sulawesi Selatan (utara);C*/M*;Kabupaten Sidenreng Rappang
DP;Sulawesi Selatan (utara);D*/R*;Kabupaten Pinrang
DP;Sulawesi Selatan (utara);E*;Kota Palopo
DP;Sulawesi Selatan (utara);F*;Kabupaten Luwu
DP;Sulawesi Selatan (utara);G*;Kabupaten Luwu Timur
DP;Sulawesi Selatan (utara);H*;Kabupaten Luwu Utara
DP;Sulawesi Selatan (utara);I*;Kabupaten Enrekang
DP;Sulawesi Selatan (utara);J*;Kabupaten Tana Toraja
DP;Sulawesi Selatan (utara);K*;Kabupaten Toraja Utara
;;;
DT;Sulawesi Tenggara;A*;Kabupaten Konawe
DT;Sulawesi Tenggara;B*;Kabupaten Kolaka Utara
DT;Sulawesi Tenggara;C*;Kabupaten Wakatobi
DT;Sulawesi Tenggara;E*;Kota Kendari
DT;Sulawesi Tenggara;F*;Kabupaten Buton Utara
DT;Sulawesi Tenggara;G*;Kabupaten Buton
DT;Sulawesi Tenggara;H*;Kabupaten Konawe Selatan
DT;Sulawesi Tenggara;J*;Kabupaten Kolaka
DT;Sulawesi Tenggara;K*;Kabupaten Bombana
DT;Sulawesi Tenggara;M*;Kabupaten Konawe Utara
;;;
DW;Sulawesi Selatan;A*;Kabupaten Bone
DW;Sulawesi Selatan;B*;Kabupaten Wajo
DW;Sulawesi Selatan;C*/Y*;Kabupaten Soppeng
DW;Sulawesi Selatan;D*/Z*;Kabupaten Sinjai
;;;
DE;Maluku;A*;Kota Ambon
DE;Maluku;B*;Kabupaten Maluku Tengah
DE;Maluku;D*;Kabupaten Buru
DE;Maluku;E*;Kabupaten Maluku Tenggara
DE;Maluku;F*;Kabupaten Buru Selatan
DE;Maluku;J*/K*;Kabupaten Maluku Barat Daya
DE;Maluku;L*;Kabupaten Seram Bagian Timur
DE;Maluku;N*;Kabupaten Kepulauan Aru
DE;Maluku;O*;Kabupaten Seram Bagian Barat
DE;Maluku;T*;Kota Tual
;;;
DG;Maluku Utara;A*;Kota Ternate
DG;Maluku Utara;B*;Kota Tidore Kepulauan
DG;Maluku Utara;D*;Kabupaten Halmahera Timur
DG;Maluku Utara;E*;Kabupaten Kepulauan Sula
DG;Maluku Utara;K*;Kabupaten Halmahera Selatan
DG;Maluku Utara;L*;Kabupaten Halmahera Tengah
DG;Maluku Utara;M*;Kabupaten Halmahera Barat
DG;Maluku Utara;N*;Kabupaten Halmahera Utara
DG;Maluku Utara;U*;Kabupaten Pulau Morotai
;;;
PA;Papua;A*;Kota Jayapura
PA;Papua;B*;Kabupaten Jayawijaya
PA;Papua;C*;Kabupaten Paniai
PA;Papua;D*;Kabupaten Mimika
PA;Papua;E*;Kabupaten Nabire
PA;Papua;G*;Kabupaten Merauke
PA;Papua;J*;Kabupaten Jayapura
PA;Papua;K*;Kabupaten Biak Numfor
PA;Papua;L*;Kabupaten Kepulauan Yapen
PA;Papua;P*;Kabupaten Puncak Jaya
;;;
PB;Papua Barat;B*;Kabupaten Teluk Bintuni
PB;Papua Barat;F*;Kabupaten Fakfak
PB;Papua Barat;K*;Kabupaten Kaimana
PB;Papua Barat;M*;Kabupaten Manokwari
PB;Papua Barat;S*;Kota Sorong
PB;Papua Barat;T*;Kabupaten Sorong Selatan
PB;Papua Barat;V*;Kabupaten Maybrat
PB;Papua Barat;W*;Kabupaten Teluk Wondama
